task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	rss	vmem	rchar	wchar
492	b4/ae745d	3693608.pbsha.ib.sockeye	runMatching (491)	CACHED	0	2022-04-20 22:57:57.693	5m 35s	5m 21s	118.2%	660.2 MB	8.3 GB	2.3 GB	1.1 GB
496	8b/666ed9	3693625.pbsha.ib.sockeye	runMatching (495)	CACHED	0	2022-04-20 23:03:07.712	2h 28m 9s	2h 27m 57s	103.3%	662.3 MB	8.3 GB	2.4 GB	1.1 GB
490	54/8c3587	3693606.pbsha.ib.sockeye	runMatching (489)	CACHED	0	2022-04-20 22:57:37.723	33m 17s	32m 52s	114.2%	1.8 GB	9.8 GB	6.1 GB	4.1 GB
500	e6/c7b174	3693613.pbsha.ib.sockeye	runMatching (499)	CACHED	0	2022-04-20 22:59:17.691	1h 5m 8s	1h 4m 59s	111.4%	962.7 MB	8.6 GB	3.6 GB	2.2 GB
502	85/7cc8a0	3693619.pbsha.ib.sockeye	runMatching (501)	CACHED	0	2022-04-20 23:00:57.733	14m 40s	13m 8s	102.5%	666 MB	8.3 GB	2.8 GB	1.3 GB
497	2d/67fbf5	3693612.pbsha.ib.sockeye	runMatching (496)	CACHED	0	2022-04-20 22:58:52.794	34m 3s	33m 49s	116.7%	2 GB	9.9 GB	6.1 GB	4.1 GB
504	13/74485d	3693614.pbsha.ib.sockeye	runMatching (503)	CACHED	0	2022-04-20 22:59:27.703	2h 37m 44s	2h 37m 32s	106.3%	658.7 MB	8.3 GB	2.4 GB	1.1 GB
495	f6/946fba	3693623.pbsha.ib.sockeye	runMatching (494)	CACHED	0	2022-04-20 23:02:12.766	21m 50s	21m 35s	102.3%	965.1 MB	8.6 GB	4.4 GB	2.5 GB
494	d8/d58695	3693617.pbsha.ib.sockeye	runMatching (493)	CACHED	0	2022-04-20 23:00:07.719	1h 8s	59m 50s	138.2%	1.7 GB	9.2 GB	3.9 GB	1.7 GB
488	ae/7102d7	3693602.pbsha.ib.sockeye	runMatching (487)	CACHED	0	2022-04-20 22:54:52.650	2h 26m 24s	2h 26m 8s	120.0%	676.3 MB	8.3 GB	2.4 GB	1.1 GB
505	10/dff981	3693620.pbsha.ib.sockeye	runMatching (504)	CACHED	0	2022-04-20 23:01:28.212	6m 20s	6m 3s	130.8%	666.5 MB	8.3 GB	2.2 GB	1.1 GB
508	77/a8b1f4	3693622.pbsha.ib.sockeye	runMatching (507)	CACHED	0	2022-04-20 23:02:07.712	27m 58s	27m 2s	107.4%	1.8 GB	9.7 GB	6.1 GB	4.1 GB
511	c5/dfa059	3693626.pbsha.ib.sockeye	runMatching (510)	CACHED	0	2022-04-20 23:03:12.909	1h 1m 3s	1h 51s	110.5%	965.9 MB	8.6 GB	3.6 GB	2.2 GB
507	46/b0ba2f	3693627.pbsha.ib.sockeye	runMatching (506)	CACHED	0	2022-04-20 23:03:32.733	51m 58s	51m 52s	105.4%	1.6 GB	9.1 GB	3.8 GB	1.7 GB
510	b0/1561f8	3693624.pbsha.ib.sockeye	runMatching (509)	CACHED	0	2022-04-20 23:02:37.721	10m 55s	10m 41s	105.4%	667.6 MB	8.3 GB	2.8 GB	1.4 GB
513	a7/cc68e7	3693633.pbsha.ib.sockeye	runMatching (512)	CACHED	0	2022-04-20 23:06:22.743	24m 56s	24m 33s	109.9%	957.3 MB	8.6 GB	4.4 GB	2.5 GB
506	19/ba8112	3693632.pbsha.ib.sockeye	runMatching (505)	CACHED	0	2022-04-20 23:06:07.751	19m 20s	19m 11s	102.4%	961.8 MB	8.6 GB	4.4 GB	2.5 GB
518	a7/0a2dd3	3693637.pbsha.ib.sockeye	runMatching (517)	CACHED	0	2022-04-20 23:07:22.759	32m 28s	32m 8s	109.0%	2 GB	9.9 GB	6 GB	4.1 GB
509	01/18b41f	3693629.pbsha.ib.sockeye	runMatching (508)	CACHED	0	2022-04-20 23:04:57.770	23m 49s	23m 16s	105.4%	1.2 GB	9 GB	5.3 GB	3.3 GB
512	53/b81b32	3693628.pbsha.ib.sockeye	runMatching (511)	CACHED	0	2022-04-20 23:03:37.716	57m 23s	57m 12s	106.7%	1.7 GB	9.2 GB	3.9 GB	1.7 GB
517	94/801047	3693631.pbsha.ib.sockeye	runMatching (516)	CACHED	0	2022-04-20 23:05:57.742	11m 10s	11m 1s	114.4%	659.9 MB	8.3 GB	2.8 GB	1.3 GB
516	d0/3e3d83	3693639.pbsha.ib.sockeye	runMatching (515)	CACHED	0	2022-04-20 23:07:47.979	27m 3s	26m 45s	109.2%	1.2 GB	9 GB	5.2 GB	3.3 GB
519	a9/7cc7d4	3693645.pbsha.ib.sockeye	runMatching (518)	CACHED	0	2022-04-20 23:13:32.816	9m 35s	9m 23s	102.6%	668.7 MB	8.3 GB	2.8 GB	1.4 GB
515	43/a2e8fa	3693641.pbsha.ib.sockeye	runMatching (514)	CACHED	0	2022-04-20 23:09:42.977	2h 29m 19s	2h 28m 58s	104.9%	656.3 MB	8.3 GB	2.4 GB	1.1 GB
499	89/9f9d77	3693634.pbsha.ib.sockeye	runMatching (498)	CACHED	0	2022-04-20 23:06:22.827	24m 12s	23m 28s	102.7%	1.2 GB	9 GB	5.3 GB	3.3 GB
525	c5/c9e7ed	3693638.pbsha.ib.sockeye	runMatching (524)	CACHED	0	2022-04-20 23:07:42.770	24m 53s	24m 39s	102.8%	949.5 MB	14.9 GB	4.4 GB	2.5 GB
523	36/7db627	3693647.pbsha.ib.sockeye	runMatching (522)	CACHED	0	2022-04-20 23:13:42.762	59m 48s	59m 28s	106.9%	1.7 GB	9.2 GB	3.9 GB	1.7 GB
