"","algorithm","model","seed","ks_p","ks_stat"
"106","F--T--F","mrna-no-transf",3,0,0.0646460231209266
"107","F--T--F","mrna-no-transf",4,0.0308422233075004,0.0104652146280155
"108","F--T--F","mrna-no-transf",1,0,0.0558499731781758
"109","F--T--F","mrna-no-transf",6,0,0.0662804089478205
"110","F--T--F","mrna-no-transf",5,0.00476925901952097,0.012590628031364
"111","F--T--F","phylo",2,0.792464845567408,0.00470769782145198
"112","F--T--F","phylo",7,0.122556127759921,0.00856132483866124
"113","F--T--F","phylo",10,0.581506557517893,0.00563208114904608
"114","F--T--F","phylo",9,0,0.0362452767254479
"115","F--T--F","phylo",8,4.04048049962302e-06,0.0185530192032489
"116","F--T--F","phylo",3,0.00357810415054938,0.0128867151125251
"117","F--T--F","phylo",4,0.550133688244549,0.00577006162240911
"118","F--T--F","phylo",1,0.451123246277366,0.00622723978519984
"119","F--T--F","phylo",6,0.00835805718162541,0.0119914979723585
"120","F--T--F","phylo",5,0.00385995278697582,0.0128092546780893
"121","F--T--F","toy-mix",2,0.323482745385636,0.00690737079417535
"122","F--T--F","toy-mix",7,0.800072622767266,0.00467188138526404
"123","F--T--F","toy-mix",10,0.225295394940446,0.00756846737559258
"124","F--T--F","toy-mix",9,0.817071250248175,0.00459025313824755
"125","F--T--F","toy-mix",8,0.0819034632822114,0.00915863101087754
"126","F--T--F","toy-mix",3,0.195109906515098,0.00781480585067029
"127","F--T--F","toy-mix",4,0.14787567768278,0.00826810972289408
"128","F--T--F","toy-mix",1,0.760964042176017,0.00485226741399071
"129","F--T--F","toy-mix",6,0.0128957286172909,0.0115070248874828
"130","F--T--F","toy-mix",5,0.0252925231129716,0.0107111334466196
"131","F--T--F","sparse-car",2,0.00773629134321252,0.0120758164211368
"132","F--T--F","sparse-car",7,0.314078518252813,0.00696392116038213
"133","F--T--F","sparse-car",10,0.251779936057873,0.00737217890420259
"134","F--T--F","sparse-car",9,0.00221523055015449,0.0133661625704851
"135","F--T--F","sparse-car",8,0.000366321324276275,0.0150298413443136
"136","F--T--F","sparse-car",3,0.0179958507236587,0.0111204091417851
"137","F--T--F","sparse-car",4,0.102501968096464,0.00883116970168867
"138","F--T--F","sparse-car",1,0.0129215896783907,0.011504739466079
"139","F--T--F","sparse-car",6,0.295252916362297,0.00708076104822766
"140","F--T--F","sparse-car",5,0.735132021237918,0.00496742280050076
"141","F--T--F","titanic",2,0.000767105964058268,0.0143698795980076
"142","F--T--F","titanic",7,2.11657580062585e-05,0.0173419101215818
"143","F--T--F","titanic",10,0.0226434713996896,0.0108458639262371
"144","F--T--F","titanic",9,0.0625343886152343,0.00953754505395712
"145","F--T--F","titanic",8,0.564272270024051,0.00570759481247644
"146","F--T--F","titanic",3,0.198887694982019,0.00778243592296618
"147","F--T--F","titanic",4,0.416351662449623,0.00639949770432845
"148","F--T--F","titanic",1,2.23649436577045e-05,0.0173001484895115
"149","F--T--F","titanic",6,0.00548455666777126,0.0124440917913293
"150","F--T--F","titanic",5,0.890836241100259,0.00419518663375355
"151","F--T--F","mining",2,0.0816672188525756,0.00916277069634876
"152","F--T--F","mining",7,0.481643550136234,0.00608179925234168
"153","F--T--F","mining",10,0.00199399695402824,0.0134690882897854
"154","F--T--F","mining",9,0.598399166405313,0.00555861563922467
"155","F--T--F","mining",8,0.76547268296891,0.0048318927609172
"156","F--T--F","mining",3,0.555742598229359,0.00574521925926292
