"","quality","model","algorithm","variable","seed","total_ess"
"345","good","vaccines","V--T*--F","eff_m",1,36080.610399886
"346","good","vaccines","V--T*--F","eff_m",2,34310.2546691082
"347","good","vaccines","V--T*--F","eff_m",3,35742.0746088279
"348","good","vaccines","V--T*--F","eff_m",4,36091.7671065205
"349","good","vaccines","V--T*--F","eff_m",5,38872.0078212721
"350","good","vaccines","V--T*--F","eff_m",6,31577.8036347074
"351","good","vaccines","V--T*--F","eff_m",7,33615.0100371706
"352","good","vaccines","V--T*--F","eff_m",8,35135.7722002027
"353","good","vaccines","V--T*--F","eff_m",9,41000.2247169064
"354","good","vaccines","V--T*--F","eff_m",10,41381.6335935093
"355","poor","mrna-no-transf","F--T F--T","beta",2,2170.1607297684
"356","poor","mrna-no-transf","V--T* F--T","beta",1,6490.82714576988
"357","poor","mrna-no-transf","V--T* F--T","beta",4,1813.42423721136
"358","poor","mrna-no-transf","V--T* F--T","beta",6,6236.25580260663
"359","poor","toy-mix","V--T* F--T","x",4,5162.00404797504
