model,optimizer,antithetics,objective,useFixedRef,stepScale,nChains,random,execFolder,iter,isFinal,budget,name,value
,MomentMatch,,FKL,false,,4.0,10,exec_16,8,false,9360.0,Rejection,0.5365131147795505
,MomentMatch,,FKL,false,,4.0,10,exec_16,9,false,18732.0,Rejection,0.5761967313821397
,MomentMatch,,FKL,false,,4.0,10,exec_16,10,false,37488.0,Rejection,0.5549064703308271
,MomentMatch,,FKL,false,,4.0,10,exec_16,11,false,75000.0,Rejection,0.5411715605420242
,MomentMatch,,FKL,false,,4.0,10,exec_16,12,true,150012.0,Rejection,0.5579485580991957
,MomentMatch,,FKL,false,,4.0,10,exec_16,13,false,300012.0,Rejection,0.5530853368240459
,MomentMatch,,FKL,false,,4.0,5,exec_17,2,false,132.0,Rejection,1.9151390701268196
,MomentMatch,,FKL,false,,4.0,5,exec_17,3,false,276.0,Rejection,0.529760330490074
,MomentMatch,,FKL,false,,4.0,5,exec_17,4,false,564.0,Rejection,0.4628870190588633
,MomentMatch,,FKL,false,,4.0,5,exec_17,5,false,1152.0,Rejection,0.6200557454897974
,MomentMatch,,FKL,false,,4.0,5,exec_17,6,false,2328.0,Rejection,0.5474666090393101
,MomentMatch,,FKL,false,,4.0,5,exec_17,7,false,4668.0,Rejection,0.5615683732720703
,MomentMatch,,FKL,false,,4.0,5,exec_17,8,false,9360.0,Rejection,0.5764103488605326
,MomentMatch,,FKL,false,,4.0,5,exec_17,9,false,18732.0,Rejection,0.5763794639966001
,MomentMatch,,FKL,false,,4.0,5,exec_17,10,false,37488.0,Rejection,0.5583683706421342
,MomentMatch,,FKL,false,,4.0,5,exec_17,11,false,75000.0,Rejection,0.5615367061568521
,MomentMatch,,FKL,false,,4.0,5,exec_17,12,true,150012.0,Rejection,0.5513878288834198
,MomentMatch,,FKL,false,,4.0,5,exec_17,13,false,300012.0,Rejection,0.5497381279271609
,MomentMatch,,FKL,false,,4.0,8,exec_18,2,false,132.0,Rejection,2.5265443161710843
,MomentMatch,,FKL,false,,4.0,8,exec_18,3,false,276.0,Rejection,0.9349383732649
,MomentMatch,,FKL,false,,4.0,8,exec_18,4,false,564.0,Rejection,0.7672589383641713
,MomentMatch,,FKL,false,,4.0,8,exec_18,5,false,1152.0,Rejection,0.696475822771234
,MomentMatch,,FKL,false,,4.0,8,exec_18,6,false,2328.0,Rejection,0.5602794591778792
,MomentMatch,,FKL,false,,4.0,8,exec_18,7,false,4668.0,Rejection,0.47187192188677984
,MomentMatch,,FKL,false,,4.0,8,exec_18,8,false,9360.0,Rejection,0.6071869963804989
,MomentMatch,,FKL,false,,4.0,8,exec_18,9,false,18732.0,Rejection,0.6002510074451822
,MomentMatch,,FKL,false,,4.0,8,exec_18,10,false,37488.0,Rejection,0.5418398486052626
,MomentMatch,,FKL,false,,4.0,8,exec_18,11,false,75000.0,Rejection,0.5456971042819134
,MomentMatch,,FKL,false,,4.0,8,exec_18,12,true,150012.0,Rejection,0.5516241600562178
