model,optimizer,antithetics,objective,useFixedRef,stepScale,nChains,random,execFolder,iter,isFinal,budget,dim,name,value
,MomentMatch,,FKL,false,,4.0,3,exec_10,4,false,564.0,1,p0_SOFTPLUS_VARIANCE,-3.529617145589988
,MomentMatch,,FKL,false,,4.0,3,exec_10,4,false,564.0,2,p1_MEAN,3.1991179795541362
,MomentMatch,,FKL,false,,4.0,3,exec_10,4,false,564.0,3,p1_SOFTPLUS_VARIANCE,-1.3539150934605653
,MomentMatch,,FKL,false,,4.0,3,exec_10,5,false,1152.0,0,p0_MEAN,-0.34764573538727367
,MomentMatch,,FKL,false,,4.0,3,exec_10,5,false,1152.0,1,p0_SOFTPLUS_VARIANCE,-3.744318976968184
,MomentMatch,,FKL,false,,4.0,3,exec_10,5,false,1152.0,2,p1_MEAN,3.1848065744705445
,MomentMatch,,FKL,false,,4.0,3,exec_10,5,false,1152.0,3,p1_SOFTPLUS_VARIANCE,-1.5400949770509098
,MomentMatch,,FKL,false,,4.0,3,exec_10,6,false,2328.0,0,p0_MEAN,-0.3768862995687937
,MomentMatch,,FKL,false,,4.0,3,exec_10,6,false,2328.0,1,p0_SOFTPLUS_VARIANCE,-3.34210464278974
,MomentMatch,,FKL,false,,4.0,3,exec_10,6,false,2328.0,2,p1_MEAN,3.0862808989767023
,MomentMatch,,FKL,false,,4.0,3,exec_10,6,false,2328.0,3,p1_SOFTPLUS_VARIANCE,-1.1102678142010634
,MomentMatch,,FKL,false,,4.0,3,exec_10,7,false,4668.0,0,p0_MEAN,-0.36348530504360105
,MomentMatch,,FKL,false,,4.0,3,exec_10,7,false,4668.0,1,p0_SOFTPLUS_VARIANCE,-3.631332825431995
,MomentMatch,,FKL,false,,4.0,3,exec_10,7,false,4668.0,2,p1_MEAN,3.1660950394574954
,MomentMatch,,FKL,false,,4.0,3,exec_10,7,false,4668.0,3,p1_SOFTPLUS_VARIANCE,-1.1993225613194143
,MomentMatch,,FKL,false,,4.0,3,exec_10,8,false,9360.0,0,p0_MEAN,-0.3521485189235659
,MomentMatch,,FKL,false,,4.0,3,exec_10,8,false,9360.0,1,p0_SOFTPLUS_VARIANCE,-3.6002069647835007
,MomentMatch,,FKL,false,,4.0,3,exec_10,8,false,9360.0,2,p1_MEAN,3.1857359286723548
,MomentMatch,,FKL,false,,4.0,3,exec_10,8,false,9360.0,3,p1_SOFTPLUS_VARIANCE,-1.3053924183302914
,MomentMatch,,FKL,false,,4.0,3,exec_10,9,false,18732.0,0,p0_MEAN,-0.3738254318851023
,MomentMatch,,FKL,false,,4.0,3,exec_10,9,false,18732.0,1,p0_SOFTPLUS_VARIANCE,-3.6139556753764066
,MomentMatch,,FKL,false,,4.0,3,exec_10,9,false,18732.0,2,p1_MEAN,3.1270564563953545
,MomentMatch,,FKL,false,,4.0,3,exec_10,9,false,18732.0,3,p1_SOFTPLUS_VARIANCE,-1.3188828720347627
,MomentMatch,,FKL,false,,4.0,3,exec_10,10,false,37488.0,0,p0_MEAN,-0.369030188884579
,MomentMatch,,FKL,false,,4.0,3,exec_10,10,false,37488.0,1,p0_SOFTPLUS_VARIANCE,-3.642719575672582
,MomentMatch,,FKL,false,,4.0,3,exec_10,10,false,37488.0,2,p1_MEAN,3.1286917712841915
,MomentMatch,,FKL,false,,4.0,3,exec_10,10,false,37488.0,3,p1_SOFTPLUS_VARIANCE,-1.3461595531243429
,MomentMatch,,FKL,false,,4.0,3,exec_10,11,false,75000.0,0,p0_MEAN,-0.3682722738850705
,MomentMatch,,FKL,false,,4.0,3,exec_10,11,false,75000.0,1,p0_SOFTPLUS_VARIANCE,-3.6562125202623337
,MomentMatch,,FKL,false,,4.0,3,exec_10,11,false,75000.0,2,p1_MEAN,3.136102239747202
,MomentMatch,,FKL,false,,4.0,3,exec_10,11,false,75000.0,3,p1_SOFTPLUS_VARIANCE,-1.3480175713686247
,MomentMatch,,FKL,false,,4.0,3,exec_10,12,true,150012.0,0,p0_MEAN,-0.3688407449767277
,MomentMatch,,FKL,false,,4.0,3,exec_10,12,true,150012.0,1,p0_SOFTPLUS_VARIANCE,-3.6265437449305913
,MomentMatch,,FKL,false,,4.0,3,exec_10,12,true,150012.0,2,p1_MEAN,3.1393827824291067
,MomentMatch,,FKL,false,,4.0,3,exec_10,12,true,150012.0,3,p1_SOFTPLUS_VARIANCE,-1.2905729755487125
,MomentMatch,,FKL,false,,4.0,3,exec_10,13,false,300012.0,0,p0_MEAN,-0.3678097822729245
,MomentMatch,,FKL,false,,4.0,3,exec_10,13,false,300012.0,1,p0_SOFTPLUS_VARIANCE,-3.6184015294319383
,MomentMatch,,FKL,false,,4.0,3,exec_10,13,false,300012.0,2,p1_MEAN,3.1342925858805524
,MomentMatch,,FKL,false,,4.0,3,exec_10,13,false,300012.0,3,p1_SOFTPLUS_VARIANCE,-1.3013494670066366
,MomentMatch,,FKL,true,,4.0,9,exec_11,1,false,120.0,0,p0_MEAN,-0.28785270782245653
,MomentMatch,,FKL,true,,4.0,9,exec_11,1,false,120.0,1,p0_SOFTPLUS_VARIANCE,-4.5862348516476255
,MomentMatch,,FKL,true,,4.0,9,exec_11,1,false,120.0,2,p1_MEAN,3.3231616162958124
,MomentMatch,,FKL,true,,4.0,9,exec_11,1,false,120.0,3,p1_SOFTPLUS_VARIANCE,-1.984065505887446
,MomentMatch,,FKL,true,,4.0,9,exec_11,2,false,264.0,0,p0_MEAN,-0.47023378413717354
,MomentMatch,,FKL,true,,4.0,9,exec_11,2,false,264.0,1,p0_SOFTPLUS_VARIANCE,-3.8951424802436554
,MomentMatch,,FKL,true,,4.0,9,exec_11,2,false,264.0,2,p1_MEAN,2.8212993581299455
,MomentMatch,,FKL,true,,4.0,9,exec_11,2,false,264.0,3,p1_SOFTPLUS_VARIANCE,-1.7758256645007453
,MomentMatch,,FKL,true,,4.0,9,exec_11,3,false,552.0,0,p0_MEAN,-0.40678700762412084
,MomentMatch,,FKL,true,,4.0,9,exec_11,3,false,552.0,1,p0_SOFTPLUS_VARIANCE,-3.507145791490717
,MomentMatch,,FKL,true,,4.0,9,exec_11,3,false,552.0,2,p1_MEAN,3.081835376980783
,MomentMatch,,FKL,true,,4.0,9,exec_11,3,false,552.0,3,p1_SOFTPLUS_VARIANCE,-1.2283493679128987
