round,isAdapt,beta,value
0,true,0.73,43.689322796027994
0,true,0.74,43.84390832078218
0,true,0.75,44.611339585134985
0,true,0.76,45.557235210752346
0,true,0.77,45.55724349068235
0,true,0.78,46.45125028910937
0,true,0.79,47.1967264599392
0,true,0.8,48.314996783815594
0,true,0.81,48.77614636122692
0,true,0.82,49.339266039015634
0,true,0.83,50.14660893681794
0,true,0.84,50.15803802551926
0,true,0.85,51.07782761243684
0,true,0.86,51.27851380992945
0,true,0.87,52.72246911840452
0,true,0.88,53.68597492111067
0,true,0.89,54.34370044641558
0,true,0.9,54.67901989230434
0,true,0.91,54.67903560225539
0,true,0.92,54.67905056098546
0,true,0.93,54.67906155687082
0,true,0.94,54.70262243586773
0,true,0.95,54.70263240545857
0,true,0.96,55.346700865573986
0,true,0.97,55.34671516241005
0,true,0.98,55.34743141739805
0,true,0.99,56.513659585629156
1,true,0.01,2.516456442583026
1,true,0.02,4.015646199152415
1,true,0.03,6.595460502478805
1,true,0.04,9.807657021112142
1,true,0.05,10.325833091740606
1,true,0.06,10.843164809070874
1,true,0.07,11.69168773505498
1,true,0.08,12.201282543289137
1,true,0.09,12.880782552427943
1,true,0.1,13.606610158363127
1,true,0.11,14.491768120785556
1,true,0.12,15.425325356830948
1,true,0.13,16.030830833943323
1,true,0.14,16.708646574544726
1,true,0.15,17.52255997387538
1,true,0.16,17.64005962877041
1,true,0.17,18.083396021066164
1,true,0.18,18.659471630831174
1,true,0.19,19.056781032322274
1,true,0.2,19.566315924240023
1,true,0.21,19.772676993351073
1,true,0.22,20.340033831933866
1,true,0.23,20.839981370160608
1,true,0.24,21.418312328101337
1,true,0.25,21.847160513970245
1,true,0.26,22.25397683821191
1,true,0.27,22.464164384329866
1,true,0.28,22.80372240428289
1,true,0.29,22.83213924958807
1,true,0.3,22.964706395437002
1,true,0.31,22.964714599926744
1,true,0.32,23.16052036720678
1,true,0.33,23.36485847818098
1,true,0.34,23.73886367839534
1,true,0.35,23.973642232410022
1,true,0.36,24.368133900526658
1,true,0.37,24.6833715545473
1,true,0.38,25.01481799671805
1,true,0.39,25.261802875974926
1,true,0.4,25.324725043203205
1,true,0.41,25.48239458883637
1,true,0.42,25.88909964277773
1,true,0.43,26.01776133125206
1,true,0.44,26.115270624021313
1,true,0.45,26.237832004958886
1,true,0.46,26.57546299324294
1,true,0.47,26.97438078176546
1,true,0.48,27.445706014098747
1,true,0.49,27.698160472761703
1,true,0.5,27.793489450700257
1,true,0.51,28.291505320983084
