"","model","nChains","objectiveType","antithetics","dim","essn","mean","sd","snr"
"195","CHRVariational",16,"ApproxRejection","MCMC",1,0.5,0.0385036383376438,0.0106739227845573,3.60726221416457
"196","CHRVariational",16,"ApproxRejection","MCMC",1,1,0.0385036383376438,0.0106739227845573,3.60726221416457
"197","CHRVariational",16,"ApproxRejection","MCMC",2,0.5,-0.0781576045138467,0.0267652401131562,2.92011594827536
"198","CHRVariational",16,"ApproxRejection","MCMC",2,1,-0.0781576045138467,0.0267652401131562,2.92011594827536
"199","CHRVariational",16,"ApproxRejection","MCMC",3,0.5,-0.077481304345824,0.0393377950808403,1.96964024512807
"200","CHRVariational",16,"ApproxRejection","MCMC",3,1,-0.077481304345824,0.0393377950808403,1.96964024512807
"201","CHRVariational",16,"ApproxRejection","OFF",-1,0.5,2.81591130047714,0.171954269115726,16.3759313156804
"202","CHRVariational",16,"ApproxRejection","OFF",-1,1,2.81591130047714,0.171954269115726,16.3759313156804
"203","CHRVariational",16,"ApproxRejection","OFF",0,0.5,-0.0445285600279366,0.0183372580217254,2.42831070900461
"204","CHRVariational",16,"ApproxRejection","OFF",0,1,-0.0445285600279366,0.0183372580217255,2.42831070900461
"205","CHRVariational",16,"ApproxRejection","OFF",1,0.5,0.0374594813079237,0.00954994036861827,3.92248326816972
"206","CHRVariational",16,"ApproxRejection","OFF",1,1,0.0374594813079237,0.00954994036861828,3.92248326816971
"207","CHRVariational",16,"ApproxRejection","OFF",2,0.5,-0.0776788590674722,0.0230877671070084,3.36450288620126
"208","CHRVariational",16,"ApproxRejection","OFF",2,1,-0.0776788590674722,0.0230877671070084,3.36450288620126
"209","CHRVariational",16,"ApproxRejection","OFF",3,0.5,-0.078236030302816,0.033578838800533,2.32992066126998
"210","CHRVariational",16,"ApproxRejection","OFF",3,1,-0.078236030302816,0.0335788388005331,2.32992066126997
"211","CHRVariational",16,"Rejection","IS",-1,0.5,2.05899756818134,0.238820093723412,8.62154241747328
"212","CHRVariational",16,"Rejection","IS",-1,1,2.53030447991593,0.261701122660532,9.66868026469318
"213","CHRVariational",16,"Rejection","IS",0,0.5,0.0714502607107125,0.170369714044703,0.419383580651926
"214","CHRVariational",16,"Rejection","IS",0,1,0.195710764710189,0.153973097385942,1.27107116783934
"215","CHRVariational",16,"Rejection","IS",1,0.5,-0.0474082670513781,0.101543191348475,0.466877851895387
"216","CHRVariational",16,"Rejection","IS",1,1,0.102236466450294,0.108975674899571,0.938158598646101
"217","CHRVariational",16,"Rejection","IS",2,0.5,0.156413125569301,0.156661503625212,0.998414555904524
"218","CHRVariational",16,"Rejection","IS",2,1,-0.355612916205063,0.13414085247242,2.65104112319683
"219","CHRVariational",16,"Rejection","IS",3,0.5,0.113601228702022,0.115993711538143,0.979374029812518
"220","CHRVariational",16,"Rejection","IS",3,1,-0.112219828105431,0.14037209898852,0.799445394875862
"221","CHRVariational",16,"Rejection","MCMC",-1,0.5,2.76467158200928,0.229231793857556,12.0605939319536
