"","model","chain","nChains","objectiveType","antithetics","dim","essn","mean","sd","snr"
"183","CHRVariational",0,16,"ApproxRejection","IS",0,0.5,-0.00675322144276289,0.0142797936479912,0.47292150077483
"184","CHRVariational",0,16,"ApproxRejection","IS",0,1,-0.00675322144276289,0.0142797936479912,0.47292150077483
"185","CHRVariational",0,16,"ApproxRejection","IS",1,0.5,0.00483362785084071,0.00458829862380565,1.05346845250268
"186","CHRVariational",0,16,"ApproxRejection","IS",1,1,0.00483362785084071,0.00458829862380565,1.05346845250268
"187","CHRVariational",0,16,"ApproxRejection","IS",2,0.5,-0.00722190709099491,0.017374458299578,0.415662288082403
"188","CHRVariational",0,16,"ApproxRejection","IS",2,1,-0.00722190709099491,0.017374458299578,0.415662288082403
"189","CHRVariational",0,16,"ApproxRejection","IS",3,0.5,-0.00797392425968591,0.0279571688343183,0.28521930482094
"190","CHRVariational",0,16,"ApproxRejection","IS",3,1,-0.00797392425968591,0.0279571688343183,0.28521930482094
"191","CHRVariational",0,16,"ApproxRejection","MCMC",-1,0.5,0.184395289364032,0.0467241686076494,3.94646485660194
"192","CHRVariational",0,16,"ApproxRejection","MCMC",-1,1,0.184395289364032,0.0467241686076494,3.94646485660194
"193","CHRVariational",0,16,"ApproxRejection","MCMC",0,0.5,-0.00673449326161843,0.00958717787306481,0.702447931057897
"194","CHRVariational",0,16,"ApproxRejection","MCMC",0,1,-0.00673449326161843,0.00958717787306481,0.702447931057897
"195","CHRVariational",0,16,"ApproxRejection","MCMC",1,0.5,0.0050156905871619,0.00405450124167665,1.23706722188295
"196","CHRVariational",0,16,"ApproxRejection","MCMC",1,1,0.0050156905871619,0.00405450124167665,1.23706722188295
"197","CHRVariational",0,16,"ApproxRejection","MCMC",2,0.5,-0.00938488840691273,0.0137104071965625,0.684508364512014
"198","CHRVariational",0,16,"ApproxRejection","MCMC",2,1,-0.00938488840691273,0.0137104071965625,0.684508364512014
"199","CHRVariational",0,16,"ApproxRejection","MCMC",3,0.5,-0.0105822777508001,0.0207074640658771,0.511036876226586
"200","CHRVariational",0,16,"ApproxRejection","MCMC",3,1,-0.0105822777508001,0.0207074640658771,0.511036876226586
"201","CHRVariational",0,16,"ApproxRejection","OFF",-1,0.5,0.184172673938484,0.0603649616595927,3.05098634829029
"202","CHRVariational",0,16,"ApproxRejection","OFF",-1,1,0.184172673938484,0.0603649616595927,3.05098634829029
"203","CHRVariational",0,16,"ApproxRejection","OFF",0,0.5,-0.00587177053444759,0.00857386686044619,0.68484507982458
"204","CHRVariational",0,16,"ApproxRejection","OFF",0,1,-0.00587177053444759,0.00857386686044619,0.68484507982458
"205","CHRVariational",0,16,"ApproxRejection","OFF",1,0.5,0.00454051647648382,0.00399164706523004,1.13750449433138
"206","CHRVariational",0,16,"ApproxRejection","OFF",1,1,0.00454051647648382,0.00399164706523004,1.13750449433138
"207","CHRVariational",0,16,"ApproxRejection","OFF",2,0.5,-0.00940197828424923,0.0120118285690253,0.782726645674408
"208","CHRVariational",0,16,"ApproxRejection","OFF",2,1,-0.00940197828424923,0.0120118285690253,0.782726645674408
"209","CHRVariational",0,16,"ApproxRejection","OFF",3,0.5,-0.0108404666668222,0.0179729137331656,0.603155772501051
"210","CHRVariational",0,16,"ApproxRejection","OFF",3,1,-0.0108404666668222,0.0179729137331656,0.603155772501051
"211","CHRVariational",0,16,"Rejection","IS",-1,0.5,0.173984309504861,0.0682254027100335,2.55013972206681
"212","CHRVariational",0,16,"Rejection","IS",-1,1,0.173984309504861,0.0682254027100335,2.55013972206681
"213","CHRVariational",0,16,"Rejection","IS",0,0.5,-0.00675322144276289,0.0142797936479912,0.47292150077483
"214","CHRVariational",0,16,"Rejection","IS",0,1,-0.00675322144276289,0.0142797936479912,0.47292150077483
"215","CHRVariational",0,16,"Rejection","IS",1,0.5,0.00483362785084071,0.00458829862380565,1.05346845250268
"216","CHRVariational",0,16,"Rejection","IS",1,1,0.00483362785084071,0.00458829862380565,1.05346845250268
"217","CHRVariational",0,16,"Rejection","IS",2,0.5,-0.00722190709099491,0.017374458299578,0.415662288082403
